datetime,geo,page,url,ttfb,dom_content_loaded,load
2026-06-25 19:30:54.723627,Uzbekistan,HOME,https://fastpari-92371.bar/ru,1607,1836,2078
2026-06-25 19:30:57.736359,Uzbekistan,CASINO,https://fastpari-92371.bar/ru/casino,2449,2526,2931
2026-06-25 19:31:00.400595,Uzbekistan,LIVE,https://fastpari-92371.bar/ru/live,2303,2540,2576
